question,reference_answer,answer,verified_citations
Ai là đối tượng áp dụng theo Điều 2 Khoản 1 Bộ luật Lao động?,"Người lao động, người học nghề, người tập nghề và người làm việc không có quan hệ lao động.",Không tìm thấy thông tin trong dữ liệu luật hiện có.,
Những ai được Bộ luật Lao động điều chỉnh theo Khoản 1 Điều 2?,"Là những người đang làm việc hoặc học nghề, tập nghề, kể cả những người không có quan hệ lao động.","Theo Khoản 1 Điều 2 Bộ luật Lao động, những người được điều chỉnh là người lao động, tức là người làm việc cho người sử dụng lao động theo thỏa thuận, được trả lương và chịu sự quản lý, điều hành, giám sát của người sử dụng lao động, có độ tuổi lao động tối thiểu là đủ 15 tuổi.

Nguồn:
- Điều 2 Khoản 1 (mặc dù không được trích dẫn đầy đủ trong CONTEXT, nhưng dựa trên cấu trúc và thông tin liên quan)
- Điều 3 Khoản 1",Điều 3 Khoản 1
Người làm việc không có quan hệ lao động có thuộc đối tượng áp dụng không?,Có.,"Người làm việc không có quan hệ lao động thuộc đối tượng áp dụng của Bộ luật Lao động Việt Nam.

Nguồn:
- Điều 2 Khoản 1
- Điều 3 Khoản 6
- Điều 4 Khoản 3
- Điều 220 Khoản 3",Điều 2 Khoản 1;Điều 220 Khoản 3;Điều 3 Khoản 6;Điều 4 Khoản 3
Người sử dụng lao động được hiểu là ai theo Bộ luật Lao động?,Người sử dụng lao động là đối tượng áp dụng của Bộ luật Lao động.,"Người sử dụng lao động theo Bộ luật Lao động là doanh nghiệp, cơ quan, tổ chức, hợp tác xã, hộ gia đình, cá nhân có thuê mướn, sử dụng người lao động làm việc cho mình theo thỏa thuận; trường hợp người sử dụng lao động là cá nhân thì phải có năng lực hành vi dân sự đầy đủ.

Nguồn:
- Điều 3 Khoản 2",Điều 3 Khoản 2
Ai được xem là người sử dụng lao động trong Bộ luật Lao động?,Người sử dụng lao động là cá nhân hoặc tổ chức thuê mướn lao động và chịu trách nhiệm theo quy định của Bộ luật Lao động.,"Người sử dụng lao động là doanh nghiệp, cơ quan, tổ chức, hợp tác xã, hộ gia đình, cá nhân có thuê mướn, sử dụng người lao động làm việc cho mình theo thỏa thuận; trường hợp người sử dụng lao động là cá nhân thì phải có năng lực hành vi dân sự đầy đủ.

Nguồn:
- Điều 3 Khoản 2",Điều 3 Khoản 2
Người sử dụng lao động có phải là đối tượng áp dụng của Bộ luật Lao động không?,Có.,"Người sử dụng lao động là đối tượng áp dụng của Bộ luật Lao động Việt Nam.

Nguồn:
- Điều 2 Khoản 2
- Điều 3 Khoản 2",Điều 2 Khoản 2;Điều 3 Khoản 2
Người lao động nước ngoài làm việc tại Việt Nam được coi là đối tượng áp dụng của Bộ luật Lao động không?,"Có, người lao động nước ngoài làm việc tại Việt Nam là đối tượng áp dụng của Bộ luật Lao động.","Người lao động nước ngoài làm việc tại Việt Nam được coi là đối tượng áp dụng của Bộ luật Lao động Việt Nam theo Điều 2 Khoản 3. 

Nguồn:
- Điều 2 Khoản 3",Điều 2 Khoản 3
Ai là người lao động nước ngoài theo quy định của Bộ luật Lao động Việt Nam?,Là những người lao động không mang quốc tịch Việt Nam làm việc tại Việt Nam.,"Người lao động nước ngoài theo quy định của Bộ luật Lao động Việt Nam là người có quốc tịch nước ngoài và phải đáp ứng các điều kiện sau: đủ 18 tuổi trở lên và có năng lực hành vi dân sự đầy đủ; có trình độ chuyên môn, kỹ thuật, tay nghề, kinh nghiệm làm việc; có đủ sức khỏe theo quy định; không đang trong thời gian chấp hành hình phạt hoặc bị truy cứu trách nhiệm hình sự; có giấy phép lao động do cơ quan nhà nước có thẩm quyền cấp, trừ trường hợp là Chủ tịch hoặc thành viên Hội đồng quản trị của công ty cổ phần có giá trị góp vốn theo quy định.

Nguồn:
- Điều 151 Khoản 1
- Điều 154 Khoản 2","Điều 151 Khoản 1 Điểm a, b, c, d;Điều 154 Khoản 2"
Người lao động nước ngoài làm việc tại Việt Nam có thuộc đối tượng áp dụng của Bộ luật Lao động không?,Có.,"Người lao động nước ngoài làm việc tại Việt Nam thuộc đối tượng áp dụng của Bộ luật Lao động Việt Nam.

Nguồn:
- Điều 2 Khoản 3",Điều 2 Khoản 3
Đối tượng áp dụng trong Khoản 4 Điều 2 gồm những ai?,"Cơ quan, tổ chức, cá nhân khác có liên quan trực tiếp đến quan hệ lao động.","Đối tượng áp dụng trong Khoản 4 Điều 2 là cơ quan, tổ chức, cá nhân khác có liên quan trực tiếp đến quan hệ lao động.

Nguồn:
- Điều 2 Khoản 4",Điều 2 Khoản 4
