group,index,category,question,rewritten_question,baseline_hit,rewritten_hit,expected
regressed,7,definition,Nghĩa vụ của người lao động gồm những gì?,Nghĩa vụ của người lao động theo quy định pháp luật lao động,True,False,5
regressed,66,termination,Đang nghỉ phép thì có bị cho thôi việc không?,Quy định về cho thôi việc khi đang nghỉ phép.,True,False,37
regressed,114,unknown,Sếp giữ bằng đại học của nhân viên có hợp pháp không?,Tính hợp pháp của việc sếp giữ bằng đại học của nhân viên,True,False,17
regressed,118,unknown,Doanh nghiệp được sa thải nhân viên trong trường hợp nào?,Điều kiện sa thải nhân viên đối với doanh nghiệp theo quy định pháp luật,True,False,125
unchanged,0,definition,Người lao động là gì?,Định nghĩa người lao động theo pháp luật lao động Việt Nam,True,True,3
unchanged,1,definition,Người sử dụng lao động là gì?,Định nghĩa người sử dụng lao động trong pháp luật lao động,True,True,3
unchanged,2,definition,Tổ chức đại diện người lao động là gì?,Định nghĩa tổ chức đại diện người lao động trong pháp luật.,True,True,3
unchanged,3,definition,Quan hệ lao động là gì?,Định nghĩa quan hệ lao động trong pháp luật lao động,True,True,3
unchanged,4,definition,Phân biệt người lao động và người sử dụng lao động.,Phân biệt người lao động và người sử dụng lao động trong pháp luật lao động.,True,True,3
unchanged,5,definition,Các nguyên tắc của pháp luật lao động là gì?,Nguyên tắc cơ bản của pháp luật lao động,False,False,5
unchanged,6,definition,Quyền của người lao động gồm những gì?,Quyền của người lao động theo pháp luật hiện hành,True,True,5
unchanged,8,definition,Những hành vi nào bị nghiêm cấm trong lao động?,Hành vi bị nghiêm cấm trong lao động là gì?,True,True,8
unchanged,9,definition,Phân biệt đối xử trong lao động có bị cấm không?,Phân biệt đối xử trong lao động có bị cấm theo pháp luật không?,True,True,8
unchanged,10,scope,Đối tượng áp dụng của Bộ luật Lao động là ai?,Đối tượng áp dụng của Bộ luật Lao động gồm những ai?,True,True,2
unchanged,11,scope,Người lao động nước ngoài có thuộc phạm vi điều chỉnh không?,Phạm vi điều chỉnh đối với người lao động nước ngoài trong luật lao động?,False,False,2
unchanged,12,scope,Người sử dụng lao động có thuộc đối tượng áp dụng không?,Người sử dụng lao động có thuộc đối tượng áp dụng pháp luật lao động không?,True,True,2
unchanged,13,scope,Các cơ quan tổ chức có liên quan có thuộc đối tượng áp dụng không?,"Đối tượng áp dụng có bao gồm các cơ quan, tổ chức liên quan không?",True,True,2
unchanged,14,scope,Bộ luật Lao động áp dụng cho những đối tượng nào?,Đối tượng áp dụng của Bộ luật Lao động,True,True,2
unchanged,15,contract,Hợp đồng lao động là gì?,Định nghĩa hợp đồng lao động theo pháp luật hiện hành,True,True,13
unchanged,16,contract,Hợp đồng lao động có bắt buộc bằng văn bản không?,Hợp đồng lao động có bắt buộc phải lập bằng văn bản không?,True,True,14
unchanged,17,contract,Có được giao kết hợp đồng bằng lời nói không?,Giao kết hợp đồng bằng lời nói có hợp pháp không?,True,True,14
unchanged,18,contract,Nguyên tắc giao kết hợp đồng lao động là gì?,Nguyên tắc giao kết hợp đồng lao động,True,True,15
unchanged,19,contract,Nội dung chủ yếu của hợp đồng lao động gồm gì?,Nội dung chủ yếu của hợp đồng lao động gồm những gì?,True,True,21
unchanged,20,contract,Phụ lục hợp đồng lao động dùng để làm gì?,Mục đích của phụ lục hợp đồng lao động là gì?,True,True,22
unchanged,21,contract,Khi nào hợp đồng lao động có hiệu lực?,Thời điểm hợp đồng lao động có hiệu lực pháp luật?,False,False,23
unchanged,22,contract,Có được giao kết nhiều hợp đồng lao động không?,Quy định về việc giao kết nhiều hợp đồng lao động cùng lúc.,True,True,19
unchanged,23,contract,Có mấy loại hợp đồng lao động?,Các loại hợp đồng lao động theo quy định pháp luật hiện hành,True,True,20
unchanged,24,contract,Khi nào được tạm hoãn thực hiện hợp đồng lao động?,Điều kiện tạm hoãn thực hiện hợp đồng lao động,True,True,30
unchanged,25,contract,Có được sửa đổi hợp đồng lao động không?,Điều kiện và quy định về sửa đổi hợp đồng lao động.,True,True,33
unchanged,26,contract,Khi nào hợp đồng lao động chấm dứt?,Điều kiện chấm dứt hợp đồng lao động theo pháp luật hiện hành,True,True,34
unchanged,27,probation,Có bắt buộc phải thử việc không?,Có bắt buộc phải thử việc theo quy định pháp luật lao động không?,True,True,24
unchanged,28,probation,Thử việc tối đa bao nhiêu ngày?,Thời gian thử việc tối đa theo quy định pháp luật là bao nhiêu ngày?,True,True,25
unchanged,29,probation,Tiền lương thử việc tối thiểu là bao nhiêu?,Mức tiền lương thử việc tối thiểu theo quy định pháp luật là bao nhiêu?,False,False,26
unchanged,30,probation,Kết thúc thời gian thử việc phải làm gì?,Nghĩa vụ của người lao động và người sử dụng lao động khi kết thúc thời gian thử việc,True,True,27
unchanged,31,probation,Có được hủy bỏ thỏa thuận thử việc không?,Quy định về hủy bỏ thỏa thuận thử việc.,True,True,27
unchanged,32,salary,Tiền lương là gì?,Định nghĩa tiền lương theo pháp luật hiện hành,True,True,90
unchanged,33,salary,Mức lương tối thiểu được quy định như thế nào?,Quy định về mức lương tối thiểu hiện hành,True,True,91
unchanged,34,salary,Nguyên tắc trả lương là gì?,Nguyên tắc trả lương theo quy định pháp luật hiện hành,True,True,94
unchanged,35,salary,Người lao động được trả lương bằng những hình thức nào?,Hình thức trả lương cho người lao động theo quy định pháp luật.,True,True,96
unchanged,36,salary,Kỳ hạn trả lương được quy định như thế nào?,Quy định về kỳ hạn trả lương trong pháp luật lao động,True,True,97
unchanged,37,salary,Làm thêm giờ được trả lương như thế nào?,Quy định về trả lương làm thêm giờ trong luật lao động,True,True,98
unchanged,38,salary,Có được khấu trừ tiền lương của người lao động không?,Khấu trừ tiền lương người lao động theo quy định pháp luật như thế nào?,True,True,102
unchanged,39,salary,Thưởng là gì?,Định nghĩa về thưởng trong pháp luật lao động,True,True,104
unchanged,40,working_time,Thời giờ làm việc bình thường là bao nhiêu giờ?,Thời gian làm việc bình thường quy định bao nhiêu giờ?,True,True,105
unchanged,41,working_time,Một tuần được làm việc tối đa bao nhiêu giờ?,Thời gian làm việc tối đa trong một tuần là bao nhiêu giờ?,True,True,105
unchanged,42,working_time,Làm việc ban đêm được tính từ mấy giờ?,Giờ bắt đầu tính làm việc ban đêm theo quy định pháp luật là mấy giờ?,False,False,106
unchanged,43,working_time,Làm thêm giờ được quy định như thế nào?,Quy định về làm thêm giờ trong luật lao động,True,True,107
unchanged,44,working_time,Một tháng được làm thêm tối đa bao nhiêu giờ?,Giờ làm thêm tối đa trong một tháng theo quy định pháp luật là bao nhiêu?,True,True,107
unchanged,45,working_time,Một năm được làm thêm tối đa bao nhiêu giờ?,Giờ làm thêm tối đa trong một năm theo quy định pháp luật lao động?,True,True,107
unchanged,46,working_time,Người lao động được nghỉ giữa giờ như thế nào?,Quy định về nghỉ giữa giờ cho người lao động,True,True,109
unchanged,47,working_time,Có được nghỉ giải lao trong giờ làm việc không?,quy định về nghỉ giải lao trong giờ làm việc,True,True,109
unchanged,48,working_time,Mỗi tuần người lao động được nghỉ bao nhiêu ngày?,Số ngày nghỉ hàng tuần của người lao động theo quy định pháp luật.,True,True,111
unchanged,49,working_time,Nếu không nghỉ hằng tuần thì xử lý thế nào?,Xử lý vi phạm không nghỉ hằng tuần theo quy định pháp luật như thế nào?,True,True,111
unchanged,50,leave,Người lao động được nghỉ lễ bao nhiêu ngày?,Số ngày nghỉ lễ của người lao động theo quy định pháp luật.,True,True,112
unchanged,51,leave,Những ngày nghỉ lễ được hưởng nguyên lương gồm những ngày nào?,Danh sách ngày nghỉ lễ được hưởng nguyên lương theo quy định pháp luật hiện hành,True,True,112
unchanged,52,leave,Làm đủ 12 tháng được nghỉ phép bao nhiêu ngày?,Quy định về số ngày nghỉ phép sau khi làm đủ 12 tháng làm việc,True,True,113
