question,expected,retrieved,hit,rank,recall,precision
Người lao động là gì?,3,"151,150,3,154,34",True,3,1.0,0.2
Người sử dụng lao động là gì?,3,"163,3,177,178,40",True,2,1.0,0.2
Tổ chức đại diện người lao động là gì?,3,"178,170,3,177",True,3,1.0,0.2
Quan hệ lao động là gì?,3,"3,178,7,179,2",True,1,1.0,0.2
Phân biệt người lao động và người sử dụng lao động.,3,"3,8,163,90,43",True,1,1.0,0.2
Các nguyên tắc của pháp luật lao động là gì?,5,"180,15,172,122",False,0,0.0,0.0
Quyền của người lao động gồm những gì?,5,"10,82,4,58,5",True,5,1.0,0.2
Nghĩa vụ của người lao động gồm những gì?,5,"177,164,178,163,58",False,0,0.0,0.0
Những hành vi nào bị nghiêm cấm trong lao động?,8,"8,208,127,160",True,1,1.0,0.2
Phân biệt đối xử trong lao động có bị cấm không?,8,"8,3,127,57,175",True,1,1.0,0.2
Đối tượng áp dụng của Bộ luật Lao động là ai?,2,"2,3,76,173",True,1,1.0,0.2
Người lao động nước ngoài có thuộc phạm vi điều chỉnh không?,2,"151,56,150,127,152",False,0,0.0,0.0
Người sử dụng lao động có thuộc đối tượng áp dụng không?,2,"2,3,220,43,159",True,1,1.0,0.2
Các cơ quan tổ chức có liên quan có thuộc đối tượng áp dụng không?,2,"2,181,175,3",True,1,1.0,0.2
Bộ luật Lao động áp dụng cho những đối tượng nào?,2,"2,177,220",True,1,1.0,0.2
Hợp đồng lao động là gì?,13,"13,82,162,34,15",True,1,1.0,0.2
Hợp đồng lao động có bắt buộc bằng văn bản không?,14,"14,162,55,45,21",True,1,1.0,0.2
Có được giao kết hợp đồng bằng lời nói không?,14,"14,15,19,18,16",True,1,1.0,0.2
Nguyên tắc giao kết hợp đồng lao động là gì?,15,"15,14,18,13,27",True,1,1.0,0.2
Nội dung chủ yếu của hợp đồng lao động gồm gì?,21,"21,55,13,162,118",True,1,1.0,0.2
Phụ lục hợp đồng lao động dùng để làm gì?,22,"22,33,13,8,162",True,1,1.0,0.2
Khi nào hợp đồng lao động có hiệu lực?,23,"220,162,78,14,34",False,0,0.0,0.0
Có được giao kết nhiều hợp đồng lao động không?,19,"19,14,20,18,27",True,1,1.0,0.2
Có mấy loại hợp đồng lao động?,20,"20,13,82,19,204",True,1,1.0,0.2
Khi nào được tạm hoãn thực hiện hợp đồng lao động?,30,"30,138,29,101",True,1,1.0,0.2
Có được sửa đổi hợp đồng lao động không?,33,"33,22,13,51,82",True,1,1.0,0.2
Khi nào hợp đồng lao động chấm dứt?,34,"45,34,35,36",True,2,1.0,0.2
Có bắt buộc phải thử việc không?,24,"24,64,25,168,41",True,1,1.0,0.2
Thử việc tối đa bao nhiêu ngày?,25,"25,24,32,107",True,1,1.0,0.2
Tiền lương thử việc tối thiểu là bao nhiêu?,26,"91,90,92,41",False,0,0.0,0.0
Kết thúc thời gian thử việc phải làm gì?,27,"27,177,24,41,32",True,1,1.0,0.2
Có được hủy bỏ thỏa thuận thử việc không?,27,"27,34,24",True,1,1.0,0.2
Tiền lương là gì?,90,"90,101,41,40,29",True,1,1.0,0.2
Mức lương tối thiểu được quy định như thế nào?,91,"91,90",True,1,1.0,0.2
Nguyên tắc trả lương là gì?,94,"94,96,72,41,122",True,1,1.0,0.2
Người lao động được trả lương bằng những hình thức nào?,96,"96,95,162,94,207",True,1,1.0,0.2
Kỳ hạn trả lương được quy định như thế nào?,97,"97,162,113,124",True,1,1.0,0.2
Làm thêm giờ được trả lương như thế nào?,98,"98,107,95,108",True,1,1.0,0.2
Có được khấu trừ tiền lương của người lao động không?,102,"102,41,95,207",True,1,1.0,0.2
Thưởng là gì?,104,"104,178,41,177,3",True,1,1.0,0.2
Thời giờ làm việc bình thường là bao nhiêu giờ?,105,"105,107,109,32",True,1,1.0,0.2
Một tuần được làm việc tối đa bao nhiêu giờ?,105,"105,146,111,107",True,1,1.0,0.2
Làm việc ban đêm được tính từ mấy giờ?,106,"109,98,146,107",False,0,0.0,0.0
Làm thêm giờ được quy định như thế nào?,107,"107,108,57,98",True,1,1.0,0.2
Một tháng được làm thêm tối đa bao nhiêu giờ?,107,"107,108,146,98,91",True,1,1.0,0.2
Một năm được làm thêm tối đa bao nhiêu giờ?,107,"107,108,98,113,109",True,1,1.0,0.2
Người lao động được nghỉ giữa giờ như thế nào?,109,"109,111,67,112,107",True,1,1.0,0.2
Có được nghỉ giải lao trong giờ làm việc không?,109,"109,188,67,194,98",True,1,1.0,0.2
Mỗi tuần người lao động được nghỉ bao nhiêu ngày?,111,"111,109,101,113,98",True,1,1.0,0.2
Nếu không nghỉ hằng tuần thì xử lý thế nào?,111,"111,217,113,127,212",True,1,1.0,0.2
Người lao động được nghỉ lễ bao nhiêu ngày?,112,"112,111,109,98",True,1,1.0,0.2
Những ngày nghỉ lễ được hưởng nguyên lương gồm những ngày nào?,112,"112,111,115,98,169",True,1,1.0,0.2
Làm đủ 12 tháng được nghỉ phép bao nhiêu ngày?,113,"113,112,137,109,47",True,1,1.0,0.2
Làm chưa đủ 12 tháng thì nghỉ phép được tính thế nào?,113,"113,143,145,109,137",True,1,1.0,0.2
Có được gộp ngày nghỉ phép nhiều năm không?,113,"113,111,97,109",True,1,1.0,0.2
Bao lâu thì được tăng thêm ngày nghỉ hằng năm?,114,"113,111,101,107",False,0,0.0,0.0
Người lao động được nghỉ việc riêng khi nào?,115,"115,37,112,169",True,1,1.0,0.2
Ông bà mất có được nghỉ làm không?,115,"115,137,113,41,169",True,1,1.0,0.2
Có được nghỉ không hưởng lương không?,115,"115,113,169,112,139",True,1,1.0,0.2
Nghỉ phép năm có được hưởng nguyên lương không?,113,"113,115,112,169",True,1,1.0,0.2
