group,index,category,question,embedding_hit,bm25_hit,expected
miss_both,3,definition,Người sử dụng lao động được hiểu là ai theo Bộ luật Lao động?,False,False,2
miss_both,4,paraphrase,Ai được xem là người sử dụng lao động trong Bộ luật Lao động?,False,False,2
miss_both,7,paraphrase,Ai là người lao động nước ngoài theo quy định của Bộ luật Lao động Việt Nam?,False,False,2
miss_both,14,yes-no,Người lao động phải đủ 15 tuổi trở lên theo quy định của Bộ luật Lao động?,False,False,3
miss_both,129,definition,Người điều khiển xe máy chở theo 02 người (không thuộc trường hợp ngoại lệ) bị phạt bao nhiêu?,False,False,7
miss_both,172,paraphrase,Lái xe máy chuyên dùng hoạt động sai phạm vi quy định bị phạt bao nhiêu?,False,False,16
miss_both,207,definition,Điều khiển xe tải kinh doanh không có hoặc không gắn phù hiệu bị phạt tiền ở mức nào?,False,False,21
miss_embedding_only,88,paraphrase,"Theo luật, việc bắt buộc người lao động làm việc trái ý muốn có bị cấm không?",False,True,8
miss_embedding_only,109,paraphrase,Lái xe ô tô không thắt dây đai an toàn khi xe đang chạy trên đường sẽ bị xử phạt như thế nào?,False,True,6
miss_embedding_only,110,yes-no,Điều khiển xe ô tô chạy dưới tốc độ tối thiểu quy định có bị phạt tiền từ 800.000 đến 1.000.000 đồng không?,False,True,6
miss_embedding_only,112,paraphrase,Mức phạt nào được áp dụng cho hành vi người lái xe ô tô dùng tay cầm và sử dụng điện thoại khi đang di chuyển?,False,True,6
miss_embedding_only,119,yes-no,Mức phạt từ 20.000.000 đến 22.000.000 đồng có áp dụng cho hành vi lái xe ô tô lùi xe gây tai nạn giao thông không?,False,True,6
miss_embedding_only,127,paraphrase,Lái xe máy và chở người ngồi sau có sử dụng ô (dù) sẽ bị phạt bao nhiêu tiền?,False,True,7
miss_embedding_only,132,definition,Người điều khiển xe máy chở từ 03 người trở lên sẽ bị phạt bao nhiêu tiền?,False,True,7
miss_embedding_only,163,paraphrase,Người điều khiển xe máy không có còi bị phạt bao nhiêu?,False,True,14
miss_embedding_only,165,definition,Lái xe máy không có chứng nhận đăng ký xe bị phạt bao nhiêu?,False,True,14
miss_embedding_only,166,paraphrase,Sử dụng còi xe máy không đúng quy chuẩn kỹ thuật bị phạt mức nào?,False,True,14
miss_embedding_only,181,paraphrase,Người lái ô tô kinh doanh vận tải quên mang giấy phép lái xe bị xử phạt như thế nào?,False,True,18
miss_embedding_only,186,definition,GPLX ô tô hết hạn sử dụng dưới 01 năm bị phạt thế nào?,False,True,18
miss_embedding_only,188,yes-no,Lái xe ô tô bằng GPLX hết hạn dưới 01 năm có bị trừ điểm GPLX không?,False,True,18
miss_embedding_only,206,yes-no,Điều khiển xe chở hàng vượt trọng tải trên 30% đến 50% bị phạt từ 3.000.000 đến 5.000.000 đồng đúng không?,False,True,21
miss_bm25_only,1,paraphrase,Những ai được Bộ luật Lao động điều chỉnh theo Khoản 1 Điều 2?,True,False,2
miss_bm25_only,27,definition,Người làm việc không có quan hệ lao động được định nghĩa như thế nào theo Bộ luật Lao động?,True,False,3
miss_bm25_only,56,yes-no,Nhà nước không khuyến khích đối thoại giữa người lao động và người sử dụng lao động đúng hay sai?,True,False,4
miss_bm25_only,60,definition,Người lao động có những quyền gì theo Điều 5 Khoản 1?,True,False,5
miss_bm25_only,61,paraphrase,Điều 5 Khoản 1 nói gì về quyền của người lao động?,True,False,5
miss_bm25_only,62,yes-no,Người lao động có quyền theo Điều 5 Khoản 1 không?,True,False,5
miss_bm25_only,63,definition,Người lao động có những nghĩa vụ gì theo Điều 5 Khoản 2?,True,False,5
miss_bm25_only,64,paraphrase,"Theo Điều 5 Khoản 2, người lao động phải thực hiện những trách nhiệm nào?",True,False,5
miss_bm25_only,65,yes-no,Người lao động có nghĩa vụ theo quy định tại Điều 5 Khoản 2 phải không?,True,False,5
miss_bm25_only,66,definition,Người sử dụng lao động có những quyền gì theo Điều 6 Khoản 1?,True,False,6
miss_bm25_only,67,paraphrase,Điều 6 Khoản 1 nói gì về quyền của người sử dụng lao động?,True,False,6
miss_bm25_only,68,yes-no,Người sử dụng lao động có quyền theo Điều 6 Khoản 1 không?,True,False,6
miss_bm25_only,69,definition,Người sử dụng lao động có những nghĩa vụ gì theo Điều 6 Khoản 2?,True,False,6
miss_bm25_only,70,paraphrase,"Theo Điều 6 Khoản 2, người sử dụng lao động phải thực hiện những trách nhiệm nào?",True,False,6
miss_bm25_only,71,yes-no,Người sử dụng lao động không có nghĩa vụ nào theo Điều 6 Khoản 2 đúng hay sai?,True,False,6
miss_bm25_only,79,paraphrase,Nêu cách công đoàn góp phần bảo vệ người lao động theo quy định tại Điều 7 Khoản 3.,True,False,7
miss_bm25_only,90,definition,Nghị định này quy định về những vấn đề gì theo Điểm a Khoản 1 Điều 1?,True,False,1
miss_bm25_only,113,yes-no,Chở người trên thùng xe tải trái quy định hoặc trên nóc xe có bị phạt tiền từ 4.000.000 đồng đến 6.000.000 đồng không?,True,False,6
hit_both,0,definition,Ai là đối tượng áp dụng theo Điều 2 Khoản 1 Bộ luật Lao động?,True,True,2
hit_both,2,yes-no,Người làm việc không có quan hệ lao động có thuộc đối tượng áp dụng không?,True,True,2
hit_both,5,yes-no,Người sử dụng lao động có phải là đối tượng áp dụng của Bộ luật Lao động không?,True,True,2
hit_both,6,definition,Người lao động nước ngoài làm việc tại Việt Nam được coi là đối tượng áp dụng của Bộ luật Lao động không?,True,True,2
hit_both,8,yes-no,Người lao động nước ngoài làm việc tại Việt Nam có thuộc đối tượng áp dụng của Bộ luật Lao động không?,True,True,2
hit_both,9,definition,Đối tượng áp dụng trong Khoản 4 Điều 2 gồm những ai?,True,True,2
hit_both,10,paraphrase,Ai được xem là đối tượng áp dụng theo Khoản 4 Điều 2 Bộ luật Lao động?,True,True,2
hit_both,11,yes-no,Cơ quan không liên quan trực tiếp đến quan hệ lao động có phải là đối tượng áp dụng theo Khoản 4 Điều 2 không?,True,True,2
hit_both,12,definition,Người lao động được định nghĩa như thế nào theo Bộ luật Lao động?,True,True,3
hit_both,13,paraphrase,Hãy giải thích lại khái niệm người lao động bằng cách khác.,True,True,3
hit_both,15,definition,Người sử dụng lao động được định nghĩa như thế nào theo Điều 3 Khoản 2?,True,True,3
hit_both,16,paraphrase,"Theo Điều 3 Khoản 2, người sử dụng lao động là ai?",True,True,3
hit_both,17,yes-no,Người sử dụng lao động là cá nhân không cần có năng lực hành vi dân sự đầy đủ đúng hay sai?,True,True,3
hit_both,18,definition,Tổ chức đại diện người lao động tại cơ sở là gì?,True,True,3
hit_both,19,paraphrase,Tổ chức đại diện người lao động tại cơ sở có thể là những tổ chức nào?,True,True,3
hit_both,20,yes-no,Tổ chức đại diện người lao động tại cơ sở được thành lập bắt buộc hay tự nguyện?,True,True,3
hit_both,21,definition,Tổ chức đại diện người sử dụng lao động là gì theo Bộ luật Lao động?,True,True,3
hit_both,22,paraphrase,Tổ chức đại diện người sử dụng lao động có vai trò gì trong quan hệ lao động?,True,True,3
hit_both,23,yes-no,Tổ chức đại diện người sử dụng lao động phải được thành lập hợp pháp đúng không?,True,True,3
hit_both,24,definition,Quan hệ lao động là gì theo Bộ luật Lao động?,True,True,3
hit_both,25,paraphrase,Quan hệ lao động bao gồm những mối quan hệ nào?,True,True,3
hit_both,26,yes-no,Quan hệ lao động chỉ xảy ra giữa người lao động và người sử dụng lao động đúng không?,True,True,3
hit_both,28,paraphrase,Người làm việc không có quan hệ lao động là người làm việc mà không ký hợp đồng lao động đúng không?,True,True,3
hit_both,29,yes-no,Người làm việc không có quan hệ lao động có phải là người làm việc theo hợp đồng lao động không?,True,True,3
hit_both,30,definition,Cưỡng bức lao động được hiểu là gì theo Bộ luật Lao động?,True,True,3
hit_both,31,paraphrase,Cưỡng bức lao động có thể được mô tả như việc nào?,True,True,3
hit_both,32,yes-no,Cưỡng bức lao động là hành vi ép buộc người lao động làm việc trái ý muốn của họ đúng không?,True,True,3
hit_both,33,definition,Phân biệt đối xử trong lao động được hiểu như thế nào theo luật?,True,True,3
hit_both,34,paraphrase,Hành vi ưu tiên hoặc loại trừ người lao động dựa trên đặc điểm cá nhân nào được coi là phân biệt đối xử trong lao động?,True,True,3
hit_both,35,yes-no,Việc phân biệt đối xử trong lao động vì yêu cầu đặc thù của công việc có bị coi là vi phạm pháp luật không?,True,True,3
hit_both,36,definition,Quấy rối tình dục tại nơi làm việc được định nghĩa như thế nào theo Bộ luật Lao động?,True,True,3
hit_both,37,paraphrase,Hành vi quấy rối tình dục tại nơi làm việc là gì nếu nói bằng cách khác?,True,True,3
hit_both,38,yes-no,"Quấy rối tình dục tại nơi làm việc chỉ xảy ra khi có sự đồng ý của người bị quấy rối, đúng hay sai?",True,True,3
hit_both,39,definition,Chính sách của Nhà nước về lao động bảo đảm điều gì cho người lao động?,True,True,4
hit_both,40,paraphrase,Nhà nước khuyến khích điều gì liên quan đến thỏa thuận lao động?,True,True,4
hit_both,41,yes-no,Nhà nước chỉ bảo vệ quyền lợi của người lao động có hợp đồng lao động đúng không?,True,True,4
hit_both,42,definition,Chính sách của Nhà nước về lao động bao gồm những nội dung gì liên quan đến người sử dụng lao động?,True,True,4
hit_both,43,paraphrase,Nhà nước có chính sách gì để bảo vệ người sử dụng lao động và quản lý lao động?,True,True,4
hit_both,44,yes-no,Nhà nước có chính sách nâng cao trách nhiệm xã hội trong quản lý lao động không?,True,True,4
hit_both,45,definition,Chính sách của Nhà nước về lao động trong khoản 3 Điều 4 bao gồm những nội dung gì?,True,True,4
hit_both,46,paraphrase,Khoản 3 Điều 4 quy định Nhà nước hỗ trợ gì cho người lao động và hoạt động kinh doanh?,True,True,4
hit_both,47,yes-no,Khoản 3 Điều 4 có đề cập đến việc áp dụng Bộ luật Lao động cho người không có quan hệ lao động không?,True,True,4
hit_both,48,definition,Chính sách của Nhà nước về lao động bao gồm những nội dung gì?,True,True,4
hit_both,49,paraphrase,Nhà nước có chính sách gì để giúp người lao động nâng cao kỹ năng và duy trì việc làm?,True,True,4
hit_both,50,yes-no,"Nhà nước ưu đãi người lao động có trình độ chuyên môn, kỹ thuật cao đúng không?",True,True,4
hit_both,51,definition,Chính sách của Nhà nước về thị trường lao động là gì?,True,True,4
hit_both,52,paraphrase,Nhà nước có chính sách gì để thúc đẩy sự kết nối giữa người lao động và người sử dụng lao động?,True,True,4
hit_both,53,yes-no,Nhà nước có chính sách đa dạng hình thức kết nối cung cầu lao động không?,True,True,4
hit_both,54,definition,Chính sách của Nhà nước về lao động trong Khoản 6 Điều 4 là gì?,True,True,4
hit_both,55,paraphrase,Nhà nước khuyến khích điều gì giữa người lao động và người sử dụng lao động theo Khoản 6 Điều 4?,True,True,4
hit_both,57,definition,Chính sách của Nhà nước về lao động bao gồm những nội dung gì liên quan đến lao động nữ và người lao động đặc biệt?,True,True,4
hit_both,58,paraphrase,Nhà nước có chính sách gì để hỗ trợ các nhóm lao động như người khuyết tật và lao động chưa thành niên?,True,True,4
hit_both,59,yes-no,Chính sách lao động của Nhà nước có bao gồm bảo vệ lao động nữ không?,True,True,4
hit_both,72,definition,Quan hệ lao động được xác lập như thế nào theo Điều 7 Khoản 1?,True,True,7
hit_both,73,paraphrase,Việc thiết lập quan hệ lao động phải dựa trên những nguyên tắc nào?,True,True,7
hit_both,74,yes-no,Quan hệ lao động có thể được xác lập mà không cần sự thỏa thuận giữa các bên không?,True,True,7
hit_both,75,definition,Ai là những chủ thể tham gia xây dựng quan hệ lao động theo Điều 7 Khoản 2?,True,True,7
hit_both,76,paraphrase,"Theo Điều 7 Khoản 2, quan hệ lao động cần được xây dựng như thế nào với sự hỗ trợ của cơ quan nhà nước?",True,True,7
hit_both,77,yes-no,Có phải cơ quan nhà nước có thẩm quyền không hỗ trợ trong việc xây dựng quan hệ lao động không?,True,True,7
hit_both,78,definition,Công đoàn có vai trò gì trong xây dựng quan hệ lao động theo Điều 7 Khoản 3?,True,True,7
hit_both,80,yes-no,Công đoàn chỉ giám sát việc thi hành pháp luật lao động mà không tham gia xây dựng quan hệ lao động đúng không?,True,True,7
hit_both,81,definition,Phòng Thương mại và Công nghiệp Việt Nam có vai trò gì trong quan hệ lao động?,True,True,7
hit_both,82,paraphrase,Các tổ chức đại diện người sử dụng lao động được thành lập theo pháp luật có nhiệm vụ gì trong quan hệ lao động?,True,True,7
hit_both,83,yes-no,Liên minh Hợp tác xã Việt Nam có thể tham gia xây dựng quan hệ lao động ổn định không?,True,True,7
hit_both,84,definition,Phân biệt đối xử trong lao động là gì theo Điều 8 Khoản 1?,True,True,8
hit_both,85,paraphrase,"Theo Điều 8 Khoản 1, việc đối xử không công bằng với người lao động có bị cấm không?",True,True,8
hit_both,86,yes-no,Điều 8 Khoản 1 có cấm phân biệt đối xử trong lao động không?,True,True,8
hit_both,87,definition,Hành vi nào bị nghiêm cấm liên quan đến người lao động theo Điều 8 Khoản 2?,True,True,8
hit_both,89,yes-no,Ngược đãi người lao động có bị pháp luật nghiêm cấm không?,True,True,8
hit_both,91,paraphrase,Phạm vi điều chỉnh liên quan đến giấy phép lái xe trong Nghị định này là gì?,True,True,1
hit_both,92,yes-no,Việc trừ điểm và phục hồi điểm giấy phép lái xe có thuộc phạm vi điều chỉnh của Nghị định này không?,True,True,1
hit_both,93,definition,Tổ chức kinh tế được thành lập theo quy định của Luật Doanh nghiệp bao gồm những loại hình nào theo Khoản 2 Điều 2?,True,True,2
hit_both,94,paraphrase,Hộ kinh doanh hoặc hộ gia đình khi vi phạm hành chính sẽ bị xử lý ra sao?,True,True,2
hit_both,95,yes-no,Tổ chức nước ngoài có hành vi vi phạm hành chính về giao thông đường bộ tại Việt Nam có bị áp dụng Nghị định này không?,True,True,2
hit_both,96,definition,"Các hình thức xử phạt chính đối với mỗi hành vi vi phạm hành chính về trật tự, an toàn giao thông đường bộ bao gồm những gì?",True,True,3
hit_both,97,paraphrase,"Ngoài hình thức phạt chính, cá nhân hoặc tổ chức vi phạm có thể bị áp dụng những hình phạt bổ sung nào?",True,True,3
hit_both,98,yes-no,Đình chỉ hoạt động có thời hạn có phải là một hình thức xử phạt bổ sung không?,True,True,3
hit_both,99,definition,"Thời hiệu xử phạt vi phạm hành chính về trật tự, an toàn giao thông trong lĩnh vực giao thông đường bộ là bao lâu?",True,True,4
hit_both,100,paraphrase,Thời gian tính thời hiệu đối với các vi phạm phát hiện qua thiết bị kỹ thuật nghiệp vụ bắt đầu từ khi nào?,True,True,4
hit_both,101,yes-no,Thời hiệu xử phạt vi phạm hành chính giao thông đường bộ có phải là 02 năm không?,True,True,4
