question,expected,retrieved,hit,rank,recall,precision
Người lao động là gì?,3,"161,3,148,160,162",True,2,1.0,0.2
Người sử dụng lao động là gì?,3,"3,163,159,160",True,1,1.0,0.2
Tổ chức đại diện người lao động là gì?,3,"3,68,178,170,69",True,1,1.0,0.2
Quan hệ lao động là gì?,3,"3,7,2,179",True,1,1.0,0.2
Phân biệt người lao động và người sử dụng lao động.,3,"3,90,163,57,8",True,1,1.0,0.2
Các nguyên tắc của pháp luật lao động là gì?,5,"15,180,122,4,53",False,0,0.0,0.0
Quyền của người lao động gồm những gì?,5,"5,118,6,136,10",True,1,1.0,0.2
Nghĩa vụ của người lao động gồm những gì?,5,"164,42,163,56,5",True,5,1.0,0.2
Những hành vi nào bị nghiêm cấm trong lao động?,8,"8,127,208",True,1,1.0,0.2
Phân biệt đối xử trong lao động có bị cấm không?,8,"8,3,175,57,32",True,1,1.0,0.2
Đối tượng áp dụng của Bộ luật Lao động là ai?,2,"2,173,220,3",True,1,1.0,0.2
Người lao động nước ngoài có thuộc phạm vi điều chỉnh không?,2,"154,151,152,153",False,0,0.0,0.0
Người sử dụng lao động có thuộc đối tượng áp dụng không?,2,"2,3,24,159",True,1,1.0,0.2
Các cơ quan tổ chức có liên quan có thuộc đối tượng áp dụng không?,2,"2,181,171,70,220",True,1,1.0,0.2
Bộ luật Lao động áp dụng cho những đối tượng nào?,2,"2,4,220",True,1,1.0,0.2
Hợp đồng lao động là gì?,13,"22,162,13,18",True,3,1.0,0.2
Hợp đồng lao động có bắt buộc bằng văn bản không?,14,"14,55,162,13,17",True,1,1.0,0.2
Có được giao kết hợp đồng bằng lời nói không?,14,"14,15,18,19,33",True,1,1.0,0.2
Nguyên tắc giao kết hợp đồng lao động là gì?,15,"15,14,18,19,16",True,1,1.0,0.2
Nội dung chủ yếu của hợp đồng lao động gồm gì?,21,"21,55,13,24,162",True,1,1.0,0.2
Phụ lục hợp đồng lao động dùng để làm gì?,22,"22,33,162,3,13",True,1,1.0,0.2
Khi nào hợp đồng lao động có hiệu lực?,23,"22,220,78,18,33",False,0,0.0,0.0
Có được giao kết nhiều hợp đồng lao động không?,19,"19,20,18,14,15",True,1,1.0,0.2
Có mấy loại hợp đồng lao động?,20,"20,13,21,162,135",True,1,1.0,0.2
Khi nào được tạm hoãn thực hiện hợp đồng lao động?,30,"30,138,29,17",True,1,1.0,0.2
Có được sửa đổi hợp đồng lao động không?,33,"33,22,82",True,1,1.0,0.2
Khi nào hợp đồng lao động chấm dứt?,34,"45,36,34,162,35",True,3,1.0,0.2
Có bắt buộc phải thử việc không?,24,"24,27,25,64",True,1,1.0,0.2
Thử việc tối đa bao nhiêu ngày?,25,"25,53,105,24,27",True,1,1.0,0.2
Tiền lương thử việc tối thiểu là bao nhiêu?,26,"91,90,92,24,25",False,0,0.0,0.0
Kết thúc thời gian thử việc phải làm gì?,27,"27,24,25",True,1,1.0,0.2
Có được hủy bỏ thỏa thuận thử việc không?,27,"27,34,24",True,1,1.0,0.2
Tiền lương là gì?,90,"90,92,95,96,46",True,1,1.0,0.2
