question,expected,retrieved,hit,rank,recall,precision
Người lao động là gì?,3,"161,3,148,160,162",True,2,1.0,0.2
Người sử dụng lao động là gì?,3,"3,163,159,160",True,1,1.0,0.2
Tổ chức đại diện người lao động là gì?,3,"3,178,170,68,69",True,1,1.0,0.2
Quan hệ lao động là gì?,3,"3,2,7,65,1",True,1,1.0,0.2
Phân biệt người lao động và người sử dụng lao động.,3,"3,163,90,57,8",True,1,1.0,0.2
Các nguyên tắc của pháp luật lao động là gì?,5,"15,180,4,118,122",False,0,0.0,0.0
Quyền của người lao động gồm những gì?,5,"5,6,10,136,159",True,1,1.0,0.2
Nghĩa vụ của người lao động gồm những gì?,5,"5,164,6,56,58",True,1,1.0,0.2
Những hành vi nào bị nghiêm cấm trong lao động?,8,"8,127,208",True,1,1.0,0.2
Phân biệt đối xử trong lao động có bị cấm không?,8,"8,3,57,175,32",True,1,1.0,0.2
Đối tượng áp dụng của Bộ luật Lao động là ai?,2,"2,173,18,220",True,1,1.0,0.2
Người lao động nước ngoài có thuộc phạm vi điều chỉnh không?,2,"154,151,152,153,1",False,0,0.0,0.0
Người sử dụng lao động có thuộc đối tượng áp dụng không?,2,"2,3,159,220",True,1,1.0,0.2
Các cơ quan tổ chức có liên quan có thuộc đối tượng áp dụng không?,2,"2,183,181,70,174",True,1,1.0,0.2
Bộ luật Lao động áp dụng cho những đối tượng nào?,2,"2,4,220",True,1,1.0,0.2
Hợp đồng lao động là gì?,13,"22,162,13,21,20",True,3,1.0,0.2
Hợp đồng lao động có bắt buộc bằng văn bản không?,14,"14,55,21,162,13",True,1,1.0,0.2
Có được giao kết hợp đồng bằng lời nói không?,14,"14,15,19,16,18",True,1,1.0,0.2
Nguyên tắc giao kết hợp đồng lao động là gì?,15,"15,18,14,19,49",True,1,1.0,0.2
Nội dung chủ yếu của hợp đồng lao động gồm gì?,21,"21,55,13,162,24",True,1,1.0,0.2
Phụ lục hợp đồng lao động dùng để làm gì?,22,"22,33,162,21,3",True,1,1.0,0.2
Khi nào hợp đồng lao động có hiệu lực?,23,"23,22,20,220,21",True,1,1.0,0.2
Có được giao kết nhiều hợp đồng lao động không?,19,"19,20,14,18,15",True,1,1.0,0.2
Có mấy loại hợp đồng lao động?,20,"20,21,13,162,22",True,1,1.0,0.2
Khi nào được tạm hoãn thực hiện hợp đồng lao động?,30,"30,31,138,29",True,1,1.0,0.2
Có được sửa đổi hợp đồng lao động không?,33,"33,22,51,82",True,1,1.0,0.2
Khi nào hợp đồng lao động chấm dứt?,34,"45,34,36,35,39",True,2,1.0,0.2
Có bắt buộc phải thử việc không?,24,"24,25,27,64,168",True,1,1.0,0.2
Thử việc tối đa bao nhiêu ngày?,25,"25,105,155,53,24",True,1,1.0,0.2
Tiền lương thử việc tối thiểu là bao nhiêu?,26,"91,90,26,24,92",True,3,1.0,0.2
Kết thúc thời gian thử việc phải làm gì?,27,"27,25,24,26",True,1,1.0,0.2
Có được hủy bỏ thỏa thuận thử việc không?,27,"27,34,24,38,25",True,1,1.0,0.2
Tiền lương là gì?,90,"90,92,95,26,96",True,1,1.0,0.2
